salsify:id,salsify:name,salsify:data_type,salsify:is_facetable,salsify:attribute_group,salsify:position,salsify:help_text,salsify:searchable,salsify:manage_permissions,salsify:manage_permissions,salsify:manage_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:type,salsify:formula,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:entity_types,salsify:entity_types,salsify:entity_types,belk:enrichment_attribute,belk:role,dw:is_custom_attribute,dw:priority,dw:source_level,dw:xml_level,dw:xml_level,dw:xml_path
Waistband,Waistband,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
channelExclusive,channelExclusive,string,Yes,Global Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,Yes,,base,master,,channelExclusive
skus,SKU's,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
styles,Child Styles,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
rrd_task_id,rrd_task_id,string,Yes,RR Donnelley,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
rrd_sample_requests,rrd_sample_requests,enumerated,Yes,RR Donnelley,,,No,Product Data Administrator,,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Collection,Collection,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Reversible,Reversible,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Includes,Includes,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Personalized,Personalized,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Warranty,Warranty,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Lined,Lined,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Interior_Features,Interior Features,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Strap,Strap,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Trim_Detail,Trim_Detail,string,Yes,IPH Info,,,No,Copy User,CopyAdmin,PIP Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Handbag_Width,Handbag Width,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Aerosol,Aerosol,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Inseam,Inseam,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Cuff,Cuff,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Usage,Usage,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Insulated,Insulated,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Hardside,Hardside,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Nested,Nested,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Suit_Separate,Suit Separate,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Shape,Shape,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Metal,Metal,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
