salsify:id,salsify:name,salsify:data_type,salsify:is_facetable,salsify:attribute_group,salsify:position,salsify:help_text,salsify:searchable,salsify:manage_permissions,salsify:manage_permissions,salsify:manage_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:type,salsify:formula,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:entity_types,salsify:entity_types,salsify:entity_types,belk:enrichment_attribute,belk:role,dw:is_custom_attribute,dw:priority,dw:source_level,dw:xml_level,dw:xml_level,dw:xml_path
Product Style,Product Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Quantity,Quantity,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Rimless,Rimless,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Handbag Height,Handbag Height,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Fastener,Fastener,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Baby_Bath_Accessories,Baby_Bath_Accessories,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Car seat type,Car seat type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Assembly details,Assembly Details,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Indoor temperature range,Indoor temperature range,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Outdoor temperature range,Outdoor temperature range,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Gold_Karat,Gold Karat Size,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Number of clubs,Number of clubs,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Pockets Interior,Pockets Interior,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Specialty Detail,Specialty Detail,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Safety Security,Safety Security,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Watch Display,Watch Display,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Vent Style,Vent Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Heel Content,Heel Content,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Upper Fabric,Upper Fabric,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Utensil Type,Utensil Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Warranty Terms,Warranty Terms,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Wide Calf,Wide Calf,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Hair Type,Hair Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Hardware Type,Hardware Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Hair Concern,Hair Concern,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Earring Style,Earring Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Fine Jewelry,Fine Jewelry,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Auto Off,Auto Off,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Beauty Finish,Beauty Finish,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Beverage Brand,Beverage Brand,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Blade Type,Blade Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Bottom Style,Bottom Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Bottom Type,Bottom Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Burner Diameter,Burner Diameter,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Center Stone Shape,Center Stone Shape,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Child Height,Child Height,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Scent,Scent,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Swimsuit Style,Swimsuit Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Sleep Position,Sleep Position,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Maximum Brew Size,Maximum Brew Size,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Mount Type,Mount Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Removable Insole,Removable Insole,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Scale Type,Scale Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Collapsible,Collapsible,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Crib body,Crib body,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Pet_Accessories,Pet_Accessories,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Wireless range,Wireless range,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Interactive,Interactive,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Money clip,Money clip,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Switch type,Switch type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Seats,Seats,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Diamond_Carat_Weight,Diamond Carat Weight,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Hand,Hand,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
NHL,NHL,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Pockets Exterior,Pockets Exterior,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Jacket Type,Jacket Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Clasp type,Clasp type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Color Rating,Color Rating,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Setting,Setting,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Fill Weight,Fill Weight,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Tang,Tang,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Watch Feature,Watch Feature,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Watch Type,Watch Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Clarity Rating,Clarity Rating,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Cooler Type,Cooler Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Framed,Framed,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Baby Shoe Type,Baby Shoe Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Active Ingredients,Active Ingredients,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Kids,Kids,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Edge Type,Edge Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Compatibility,Compatibility,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Bag Closure,Bag Closure,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Band Style,Band Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Belt Included,Belt Included,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Beverage Type,Beverage Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Set Contents,Set Contents,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Strapless,Strapless,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Stroller Type,Stroller Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Necktie Width,Necktie Width,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Number of Tiers,Number of Tiers,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
One-Piece Style,One Piece Style,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Riveted Handle,Riveted Handle,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Wrap Sleeve Type,Wrap Sleeve Type,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Wrap Neckline,Wrap Neckline,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Cycle time,Cycle time,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Number of pumps,Number of pumps,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Filters,Filters,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Case Size,Case Size,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Compatible with,Compatible With,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Display,Display,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Finish - metal,Finish - metal,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Tilt,Tilt,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Umbrella Lift Type,Umbrella Lift Type,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Material - body,Material - body,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Material - surface,Material - surface,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Hoop_Millimeter,Hoop Millimeter,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Number of pockets,Number of pockets,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
No of Back Internal Pockets,No of Back Internal Pockets,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Fur animal name,Fur Animal Name,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Post Type Material,Post Type Material,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
FaceType,FaceType,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Fill Power,Fill Power,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Candle Burn Time,Candle Burn Time,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Tag Free,Tag Free,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Midsole Content,Midsole Content,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Waffle Shape,Waffle Shape,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Handle Color,Handle Color,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Opening,Opening,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Denim Wash,Denim Wash,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Kids Shoe Width,Kids Shoe Width,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Boot Features,Boot Features,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Bracelet Style,Bracelet Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Shaft Height,Shaft Height,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Speeds,Speeds,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Thread Count,Thread Count,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Light Filtration,Light Filtration,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Number of Burners,Number of Burners,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Opaque,Opaque,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Pants Style,Pants Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Oscillating,Oscillating,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Professional,Professional,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Rim Style,Rim Style,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Gift Card Only,Gift Card Only,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Child weight - maximum,Child weight - maximum,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Height positions,Height positions,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Material - hardware,Material - hardware,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Number of card slots,Number of card slots,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
ImageAssetSource,ImageAssetSource,enumerated,Yes,Workflow Properties,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
TempImageAssetforCopy,TempImageAssetforCopy,enumerated,Yes,Workflow Properties,,,No,Product Data Administrator,,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
step-quantity,Step-quantity,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Exterior Features,Exterior Features,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
No of Doors,No of Doors,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_Drawers,Number_of_Drawers,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
No of Front External Pockets,No of Front External Pockets,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Number_of_Hooks,Number_of_Hooks,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_Interior_Compartments,Number_of_Interior_Compartments,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Product Dimensions,Product Dimensions,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Strap Detail,Strap Detail,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Swim__Features,Swim Features,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Vendor Images - B - imagePath,Vendor Images - B - imagePath,digital_asset,Yes,VendorImages,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Dropship,Dropship,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
sku_active_start_date,sku_active_start_date,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Product_name,Product_name,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Product_description,Product_description,string,Yes,Product Attributes,,,No,Copy User,CopyAdmin,,Art Director Admins,ArtDirectors,PIP Admin,Product Data Administrator,Sample Admin,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Facet_Size_1,Facet_Size_1,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Facet_Size_2,Facet_Size_2,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Facet_Size_3,Facet_Size_3,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Facet_Sub_Size_1,Facet_Sub_Size_1,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Facet_Sub_Size_2,Facet_Sub_Size_2,string,Yes,Product Attributes,,,No,Product Data Administrator,Product Data Co-Ordinator,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,Sample Management User,Sample Management User,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
sitemap-included-flag,Sitemap Included-flag,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
